摆, bai, 20608325722811
貌, mao, 20601757558004
吐, tu, 20518866773173
试, shi, 20503833548853
速, su, 20498617329389
把, ba, 20483405799999
民, min, 20470601482274
洋, yang, 20458766907362
谈, tan, 20442285093385
体, ti, 20440483610976
挂, gua, 20431455142005
瞧, qiao, 20423455819203
认, ren, 20412881086372
固, gu, 20395569846874
并, bing, 20390939919143
陪, pei, 20346086406338
备, bei, 20326215133290
象, xiang, 20322598021440
伯, bo, 20312917939816
益, yi, 20268679756999
案, an, 20258603448968
抬, tai, 20252858155804
场, chang, 20246385131458
聪, cong, 20223265688468
碰, peng, 20221056399455
辆, liang, 20186964857849
敏, min, 20185576459576
挡, dang, 20171703535075
兰, lan, 20150342196439
密, mi, 20143730835670
恭, gong, 20116587823136
愤, fen, 20099956596482
箭, jian, 20099708026412
啊, a, 20099306588155
担, dan, 20097315807597
成, cheng, 20093685793761
怕, pa, 20085560514441
音, yin, 20066627592880
茫, mang, 20038299799989
异, yi, 20033742096800
室, shi, 19996001343536
殊, shu, 19993514317016
技, ji, 19986205780207
卫, wei, 19972186206022
替, ti, 19952742241315
庆, qing, 19926240820443
隐, yin, 19921670458785
忽, hu, 19918406541845
茶, cha, 19917411686382
豪, hao, 19885818338260
惜, xi, 19872940853644
怖, bu, 19848629163694
枚, mei, 19845684669615
查, cha, 19834719001289
每, mei, 19802615740967
翻, fan, 19776985205068
政, zheng, 19766086826192
凑, cou, 19751565019658
和, he, 19724818656579
哭, ku, 19702760316035
努, nu, 19651346303920
实, shi, 19644206923389
妹, mei, 19621918679349
赫, he, 19598595375983
郁, yu, 19595910615615
寻, xun, 19570646087756
咐, fu, 19563097319261
行, hang, 19551903248883
闪, shan, 19545604859945
置, zhi, 19541751343450
撞, zhuang, 19513736253056
一, yi, 19506065865902
坦, tan, 19491201171709
监, jian, 19442621065955
矩, ju, 19433916439966
纠, jiu, 19414515032209
氏, shi, 19406032824736
珍, zhen, 19405456471057
征, zheng, 19405081390886
伍, wu, 19395754467458
漫, man, 19393803428059
扶, fu, 19384894710165
证, zheng, 19370147606428
宣, xuan, 19359728870249
拖, tuo, 19353852222732
致, zhi, 19353763887655
英, ying, 19348972400568
求, qiu, 19317948176478
兵, bing, 19313857121723
决, jue, 19302086925736
房, fang, 19282004003038
院, yuan, 19256092953873
喊, han, 19225440651368
受, shou, 19213249417402
告, gao, 19151295920045
家, jia, 19083463639297
惹, re, 19082274716684
官, guan, 19061541890617
充, chong, 19054446433664
域, yu, 19043528406186
检, jian, 19028388325252
风, feng, 19022401331430
辛, xin, 19016881393209
使, shi, 18989506245099
衣, yi, 18989128617616
渐, jian, 18987206174909
娘, niang, 18987140222951
路, lu, 18982867014101
繁, fan, 18961421799544
休, xiu, 18948110731468
控, kong, 18947109584012
意, yi, 18945906741929
撑, cheng, 18935514935707
扯, che, 18897497702687
终, zhong, 18867387649118
须, xu, 18864914907680
敲, qiao, 18861267743870
鲜, xian, 18851249542837
慰, wei, 18844599867549
程, cheng, 18843850789309
师, shi, 18837494940913
径, jing, 18834277669037
标, biao, 18819530671971
浩, hao, 18811067501458
尬, ga, 18802437469682
叔, shu, 18784668330666
踪, zong, 18782169271568
颜, yan, 18778924146203
佛, fu, 18778618104297
阻, zu, 18765412937934
格, ge, 18758318681327
宇, yu, 18738974015893
迫, po, 18733463005628
剧, ju, 18733005721958
山, shan, 18731914707716
颇, po, 18730814151709
养, yang, 18709299871264
幸, xing, 18705779818939
擦, ca, 18694676954566
米, mi, 18684645639520
摩, mo, 18682410589910
某, mou, 18663326536073
智, zhi, 18650214758012
产, chan, 18629770761126
彩, cai, 18626987037816
搭, da, 18614331068858
禁, jin, 18601096841332
键, jian, 18595097657961
持, chi, 18576005818484
区, qu, 18560321437416
范, fan, 18551680927653
志, zhi, 18545414237905
脖, bo, 18544304843528
插, cha, 18532267679009
考, kao, 18521808807801
父, fu, 18488824169361
便, pian, 18476074842881
计, ji, 18445903696160
络, luo, 18439067125436
世, shi, 18427989852586
忍, ren, 18425438248707
最, zui, 18424021825134
咱, zan, 18423406371499
晃, huang, 18421729010154
女, nv, 18397812214022
呵, he, 18391192843503
势, shi, 18380657995378
应, ying, 18369706839912
此, ci, 18362911469912
保, bao, 18352761497301
晰, xi, 18313794062998
角, jue, 18305186645830
有, you, 18292721377117
国, guo, 18291921153795
客, ke, 18288863832985
杰, jie, 18288216124567
耀, yao, 18273986618262
弥, mi, 18270468248445
执, zhi, 18265580392532
缩, suo, 18261984053168
特, te, 18253090357112
苍, cang, 18252109225671
拾, shi, 18241580601149
措, cuo, 18239599315125
扔, reng, 18233049100978
钟, zhong, 18232139336384
回, hui, 18229851479880
需, xu, 18228772270446
